
1550820848.081:  AA AA 04 80 02 FE 2B 54
1550820848.096:  AA AA 04 80 02 FE 16 69
1550820848.096:  AA AA 04 80 02 FE 05 7A
1550820848.096:  AA AA 04 80 02 FE 34 4B
1550820848.096:  AA AA 04 80 02 FE C2 BD
1550820848.096:  AA AA 04 80 02 FF 43 3B
1550820848.096:  AA AA 04 80 02 FF 63 1B
1550820848.096:  AA AA 04 80 02 FF 5F 1F
1550820848.096:  AA AA 04 80 02 FF 9C E2
1550820848.096:  AA AA 04 80 02 00 04 79
1550820848.096:  AA AA 04 80 02 00 34 49
1550820848.096:  AA AA 04 80 02 00 42 3B
1550820848.096:  AA AA 04 80 02 00 51 2C
1550820848.096:  AA AA 04 80 02 00 56 27
1550820848.096:  AA AA 04 80 02 00 44 39
1550820848.096:  AA AA 04 80 02 00 48 35
1550820848.096:  AA AA 04 80 02 00 B8 C5
1550820848.096:  AA AA 04 80 02 01 19 63
1550820848.096:  AA AA 04 80 02 00 E9 94
1550820848.096:  AA AA 04 80 02 00 AC D1
1550820848.096:  AA AA 04 80 02 01 19 63
1550820848.096:  AA AA 04 80 02 02 27 54
1550820848.112:  AA AA 04 80 02 03 50 2A
1550820848.112:  AA AA 04 80 02 04 6A 0F
1550820848.112:  AA AA 04 80 02 04 C8 B1
1550820848.112:  AA AA 04 80 02 04 3C 3D
1550820848.112:  AA AA 04 80 02 03 D1 A9
1550820848.112:  AA AA 04 80 02 03 E4 96
1550820848.112:  AA AA 04 80 02 03 F7 83
1550820848.112:  AA AA 04 80 02 03 C6 B4
1550820848.112:  AA AA 04 80 02 03 9C DE
1550820848.112:  AA AA 04 80 02 03 65 15
1550820848.112:  AA AA 04 80 02 02 DA A1
1550820848.112:  AA AA 04 80 02 02 28 53
1550820848.112:  AA AA 04 80 02 01 FC 80
1550820848.112:  AA AA 04 80 02 02 97 E4
1550820848.112:  AA AA 04 80 02 03 29 51
1550820848.112:  AA AA 04 80 02 03 29 51
1550820848.112:  AA AA 04 80 02 02 E7 94
1550820848.112:  AA AA 04 80 02 02 C7 B4
1550820848.112:  AA AA 04 80 02 02 D4 A7
1550820848.112:  AA AA 04 80 02 02 C9 B2
1550820848.112:  AA AA 04 80 02 02 69 12
1550820848.112:  AA AA 04 80 02 01 F4 88
1550820848.112:  AA AA 04 80 02 01 B2 CA
1550820848.112:  AA AA 04 80 02 01 8A F2
1550820848.112:  AA AA 04 80 02 01 6D 0F
1550820848.112:  AA AA 04 80 02 01 4B 31
1550820848.112:  AA AA 04 80 02 00 FC 81
1550820848.112:  AA AA 04 80 02 00 96 E7
1550820848.112:  AA AA 04 80 02 00 47 36
1550820848.112:  AA AA 04 80 02 00 26 57
1550820848.112:  AA AA 04 80 02 00 16 67
1550820848.128:  AA AA 04 80 02 00 00 7D
1550820848.128:  AA AA 04 80 02 FF E5 99
